,Manufacturer,year,preprocessed
90,AC,23,lane_change insufficient distance keeping cause object detection
91,AC,23,close road lane boundary cause object lane detection
92,AC,23,lane_change insufficient distance keeping cause object detection
93,AC,23,catching insufficient distance keeping cause object detection
94,AC,23,catching insufficient distance keeping cause object detection
95,AC,23,close road lane boundary cause object lane detection
96,AC,23,close road lane boundary cause object lane detection
97,AC,23,close road lane boundary cause object lane detection
98,AC,23,close road lane boundary cause object lane detection
99,AC,23,close road lane boundary cause object lane detection
100,AC,23,cut insufficient distance keeping cause object detection
101,AC,23,close road lane boundary cause object lane detection
102,AC,23,close road lane boundary cause object lane detection
103,AC,23,close road lane boundary cause object lane detection
104,AC,23,close road lane boundary cause object lane detection
105,AC,23,catching insufficient distance keeping cause object detection
106,AC,23,sw perform lane_change manuever safely cause lane detection
107,AC,23,lane_change insufficient distance keeping cause object detection
108,AC,23,cut insufficient distance keeping cause object detection
109,AC,23,close road lane boundary cause object lane detection
110,AC,23,lane_change insufficient distance keeping cause object detection
111,AC,23,close road lane boundary cause object lane detection
112,AC,23,lane_change insufficient distance keeping cause object detection
113,AC,23,close road lane boundary cause object lane detection
114,AC,23,close road lane boundary cause object lane detection
115,AC,23,close road lane boundary cause object lane detection
116,AC,23,catching insufficient distance keeping cause object detection
117,AC,23,catching insufficient distance keeping cause object detection
118,AC,23,close road lane boundary cause object lane detection
119,AC,23,close road lane boundary cause object lane detection
120,AC,23,close road lane boundary cause object lane detection
121,AC,23,sw perform lane_change manuever safely cause lane detection
122,AC,23,close road lane boundary cause object lane detection
123,AC,23,improper braking caused perception cause trajectory calculation
124,AC,23,close road lane boundary cause object lane detection
125,AC,23,close road lane boundary cause object lane detection
126,AC,23,close road lane boundary cause object lane detection
127,AC,23,derbis road cause precaution
128,AC,23,lane_change insufficient distance keeping cause object detection
129,AC,23,close road lane boundary cause object lane detection
130,AC,23,close road lane boundary cause object lane detection
131,AC,23,close road lane boundary cause object lane detection
132,AC,23,close road lane boundary cause object lane detection
133,AC,23,catching insufficient distance keeping cause object detection
134,AC,23,cut insufficient distance keeping cause object detection
135,AC,23,close road lane boundary cause object lane detection
136,AC,23,close road lane boundary cause object lane detection
137,AC,23,close road lane boundary cause object lane detection
138,AC,23,close road lane boundary cause object lane detection
139,AC,23,sw perform lane_change manuever safely cause lane detection
140,AC,23,close road lane boundary cause object lane detection
141,AC,23,precaution keeping distance parked side cause precaution
142,AC,23,precaution keeping distance parked side cause precaution
143,AC,23,close road lane boundary cause object lane detection
144,AC,23,catching insufficient distance keeping cause object detection
145,AC,23,lane_change insufficient distance keeping cause object detection
146,AC,23,lane_change insufficient distance keeping cause object detection
147,AC,23,close road lane boundary cause object lane detection
148,AC,23,precaution keeping distance parked side cause precaution
149,AC,23,close road lane boundary cause object lane detection
150,AC,23,close road lane boundary cause object lane detection
151,AC,23,close road lane boundary cause object lane detection
152,AC,23,close road lane boundary cause object lane detection
153,AC,23,close road lane boundary cause object lane detection
154,AC,23,close road lane boundary cause object lane detection
155,AC,23,close road lane boundary cause object lane detection
156,AC,23,catching insufficient distance keeping cause object detection
157,AC,23,close road lane boundary exit merge manuever cause lane detection
158,AC,23,cut insufficient distance keeping cause object detection
159,AC,23,catching insufficient distance keeping cause object detection
160,AC,23,close road lane boundary cause object lane detection
161,AC,23,catching insufficient distance keeping cause object detection
162,AC,23,catching insufficient distance keeping cause object detection
163,AC,23,lane_change insufficient distance keeping cause object detection
164,AC,23,close road lane boundary cause object lane detection
165,AC,23,close road lane boundary cause object lane detection
166,AC,23,catching insufficient distance keeping cause object detection
167,AC,23,close road lane boundary cause object lane detection
168,AC,23,close road lane boundary cause object lane detection
169,AC,23,close road lane boundary cause object lane detection
170,AC,23,close road lane boundary cause object lane detection
171,AC,23,close road lane boundary cause object lane detection
172,AC,23,cut insufficient distance keeping cause object detection
173,AC,23,close road lane boundary cause object lane detection
174,AC,23,close road lane boundary cause object lane detection
175,AC,23,close road lane boundary cause object lane detection
176,AC,23,close road lane boundary cause object lane detection
177,AC,23,close road lane boundary cause object lane detection
178,AC,23,close road lane boundary cause object lane detection
179,AC,23,catching insufficient distance keeping cause object detection
180,AC,23,exit merge insufficient distance keeping cause object detection
181,AC,23,lane_change insufficient distance keeping cause object detection
182,AC,23,close road lane boundary cause object lane detection
183,AC,23,close road lane boundary cause object lane detection
184,AC,23,close road lane boundary cause object lane detection
185,AC,23,catching insufficient distance keeping cause object detection
186,AC,23,lane_change insufficient distance keeping cause object detection
187,AC,23,lane_change insufficient distance keeping cause object detection
188,AC,23,close road lane boundary cause object lane detection
189,AC,23,catching insufficient distance keeping cause object detection
190,AC,23,close road lane boundary cause object lane detection
191,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
192,AC,23,close road lane boundary cause object lane detection
193,AC,23,close road lane boundary cause object lane detection
194,AC,23,close road lane boundary cause object lane detection
195,AC,23,cut insufficient distance keeping cause object detection
196,AC,23,close road lane boundary cause object lane detection
197,AC,23,cut insufficient distance keeping cause object detection
198,AC,23,catching insufficient distance keeping cause object detection
199,AC,23,close road lane boundary cause object lane detection
200,AC,23,close road lane boundary cause object lane detection
201,AC,23,derbis road cause precaution
202,AC,23,catching insufficient distance keeping cause object detection
203,AC,23,close road lane boundary cause object lane detection
204,AC,23,close road lane boundary cause object lane detection
205,AC,23,close road lane boundary cause object lane detection
206,AC,23,close road lane boundary cause object lane detection
207,AC,23,close road lane boundary cause object lane detection
208,AC,23,close road lane boundary cause object lane detection
209,AC,23,close road lane boundary exit merge manuever cause lane detection
210,AC,23,close road lane boundary cause object lane detection
211,AC,23,exit merge insufficient distance keeping cause object detection
212,AC,23,close road lane boundary exit merge manuever cause lane detection
213,AC,23,lane_change insufficient distance keeping cause object detection
214,AC,23,close road lane boundary cause object lane detection
215,AC,23,improper braking caused perception cause trajectory calculation
216,AC,23,close road lane boundary cause object lane detection
217,AC,23,close road lane boundary cause object lane detection
218,AC,23,catching insufficient distance keeping cause object detection
219,AC,23,lane_change insufficient distance keeping cause object detection
220,AC,23,exit merge insufficient distance keeping cause object detection
221,AC,23,close road lane boundary cause object lane detection
222,AC,23,close road lane boundary cause object lane detection
223,AC,23,close road lane boundary cause object lane detection
224,AC,23,cut insufficient distance keeping cause object detection
225,AC,23,close road lane boundary exit merge manuever cause lane detection
226,AC,23,close road lane boundary cause object lane detection
227,AC,23,exit merge insufficient distance keeping cause object detection
228,AC,23,close road lane boundary exit merge manuever cause lane detection
229,AC,23,close road lane boundary cause object lane detection
230,AC,23,lane_change insufficient distance keeping cause object detection
231,AC,23,close road lane boundary cause object lane detection
232,AC,23,exit merge insufficient distance keeping cause object detection
233,AC,23,close road lane boundary cause object lane detection
234,AC,23,close road lane boundary exit merge manuever cause lane detection
235,AC,23,improper braking caused perception cause trajectory calculation
236,AC,23,lane_change insufficient distance keeping cause object detection
237,AC,23,lane_change insufficient distance keeping cause object detection
238,AC,23,catching insufficient distance keeping cause object detection
239,AC,23,close road lane boundary cause object lane detection
240,AC,23,close road lane boundary cause object lane detection
241,AC,23,close road lane boundary cause object lane detection
242,AC,23,improper braking caused perception cause trajectory calculation
243,AC,23,lane_change insufficient distance keeping cause object detection
244,AC,23,close road lane boundary cause object lane detection
245,AC,23,close road lane boundary cause object lane detection
246,AC,23,close road lane boundary cause object lane detection
247,AC,23,precaution keeping distance parked side cause precaution
248,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
249,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
250,AC,23,catching insufficient distance keeping cause object detection
251,AC,23,close road lane boundary cause object lane detection
252,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
253,AC,23,close road lane boundary cause object lane detection
254,AC,23,improper braking caused falsely perception stop line cause object detection
255,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
256,AC,23,improper braking caused perception cause trajectory calculation
257,AC,23,improper braking caused perception cause trajectory calculation
258,AC,23,improper braking caused falsely perception stop line cause object detection
259,AC,23,improper braking caused perception cause trajectory calculation
260,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
261,AC,23,improper braking caused perception cause trajectory calculation
262,AC,23,improper braking caused perception cause trajectory calculation
263,AC,23,improper braking caused perception cause trajectory calculation
264,AC,23,improper braking caused perception cause trajectory calculation
265,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
266,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
267,AC,23,improper braking caused falsely perception stop line cause object detection
268,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
269,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
270,AC,23,improper braking caused falsely perception stop line cause object detection
271,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
272,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
273,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
274,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
275,AC,23,improper braking caused falsely perception stop line cause object detection
276,AC,23,improper braking caused perception cause trajectory calculation
277,AC,23,perform steering correct trajectory cause trajectory calculation
278,AC,23,catching insufficient distance keeping cause object detection
279,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
280,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
281,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
282,AC,23,close road lane boundary cause object lane detection
283,AC,23,close road lane boundary cause object lane detection
284,AC,23,lane_change insufficient distance keeping cause object detection
285,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
286,AC,23,close road lane boundary cause object lane detection
287,AC,23,close road lane boundary cause object lane detection
288,AC,23,close road lane boundary cause object lane detection
289,AC,23,precaution keeping distance parked side cause precaution
290,AC,23,close road lane boundary cause object lane detection
291,AC,23,close road lane boundary cause object lane detection
292,AC,23,close road lane boundary cause object lane detection
293,AC,23,close road lane boundary cause object lane detection
294,AC,23,close road lane boundary cause object lane detection
295,AC,23,close road lane boundary cause object lane detection
296,AC,23,close road lane boundary cause object lane detection
297,AC,23,close road lane boundary cause object lane detection
298,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
299,AC,23,exit merge insufficient distance keeping cause object detection
300,AC,23,catching insufficient distance keeping cause object detection
301,AC,23,close road lane boundary cause object lane detection
302,AC,23,close road lane boundary cause object lane detection
303,AC,23,perform steering correct trajectory cause trajectory calculation
304,AC,23,close road lane boundary cause object lane detection
305,AC,23,close road lane boundary exit merge manuever cause lane detection
306,AC,23,close road lane boundary cause object lane detection
307,AC,23,close road lane boundary cause object lane detection
308,AC,23,catching insufficient distance keeping cause object detection
309,AC,23,cut insufficient distance keeping cause object detection
310,AC,23,close road lane boundary cause object lane detection
311,AC,23,close road lane boundary cause object lane detection
312,AC,23,exit merge insufficient distance keeping cause object detection
313,AC,23,close road lane boundary cause object lane detection
314,AC,23,close road lane boundary cause object lane detection
315,AC,23,close road lane boundary cause object lane detection
316,AC,23,close road lane boundary exit merge manuever cause lane detection
317,AC,23,sw perform lane_change manuever safely cause lane detection
318,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
319,AC,23,close road lane boundary cause object lane detection
320,AC,23,exit merge insufficient distance keeping cause object detection
321,AC,23,close road lane boundary cause object lane detection
322,AC,23,catching insufficient distance keeping cause object detection
323,AC,23,close road lane boundary cause object lane detection
324,AC,23,close road lane boundary exit merge manuever cause lane detection
325,AC,23,exit merge insufficient distance keeping cause object detection
326,AC,23,close road lane boundary cause object lane detection
327,AC,23,close road lane boundary cause object lane detection
328,AC,23,lane_change insufficient distance keeping cause object detection
329,AC,23,close road lane boundary exit merge manuever cause lane detection
330,AC,23,sw perform lane_change manuever safely cause lane detection
331,AC,23,sw perform lane_change manuever safely cause lane detection
332,AC,23,exit merge insufficient distance keeping cause object detection
333,AC,23,sw perform lane_change manuever safely cause lane detection
334,AC,23,improper braking caused perception cause trajectory calculation
335,AC,23,close road lane boundary cause object lane detection
336,AC,23,close road lane boundary exit merge manuever cause lane detection
337,AC,23,close road lane boundary exit merge manuever cause lane detection
338,AC,23,close road lane boundary exit merge manuever cause lane detection
339,AC,23,close road lane boundary cause object lane detection
340,AC,23,close road lane boundary cause object lane detection
341,AC,23,catching insufficient distance keeping cause object detection
342,AC,23,close road lane boundary cause object lane detection
343,AC,23,close road lane boundary cause object lane detection
344,AC,23,close road lane boundary cause object lane detection
345,AC,23,close road lane boundary exit merge manuever cause lane detection
346,AC,23,close road lane boundary cause object lane detection
347,AC,23,cut insufficient distance keeping cause object detection
348,AC,23,exit merge insufficient distance keeping cause object detection
349,AC,23,close road lane boundary cause object lane detection
350,AC,23,sw perform lane_change manuever safely cause lane detection
351,AC,23,close road lane boundary exit merge manuever cause lane detection
352,AC,23,improper braking caused perception cause trajectory calculation
353,AC,23,close road lane boundary cause object lane detection
354,AC,23,sw giving back control minor system error cause sw self diagnosed something ideal
355,AC,23,cut insufficient distance keeping cause object detection
356,AC,23,improper braking caused perception cause trajectory calculation
357,AC,23,catching insufficient distance keeping cause object detection
358,AC,23,close road lane boundary exit merge manuever cause lane detection
359,AC,23,close road lane boundary cause object lane detection
360,AC,23,close road lane boundary cause object lane detection
361,AC,23,close road lane boundary cause object lane detection
362,AC,23,sw perform lane_change manuever safely cause lane detection
363,AC,23,exit merge insufficient distance keeping cause object detection
364,AC,23,close road lane boundary exit merge manuever cause lane detection
365,AC,23,derbis road cause precaution
366,AC,23,exit merge insufficient distance keeping cause object detection
367,AC,23,close road lane boundary exit merge manuever cause lane detection
368,AC,23,lane_change insufficient distance keeping cause object detection
369,AC,23,close road lane boundary cause object lane detection
370,AC,23,catching insufficient distance keeping cause object detection
371,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
372,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
373,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
374,AC,23,close road lane boundary cause object lane detection
375,AC,23,close road lane boundary cause object lane detection
376,AC,23,cut insufficient distance keeping cause object detection
377,AC,23,close road lane boundary cause object lane detection
378,AC,23,lane_change insufficient distance keeping cause object detection
379,AC,23,derbis road cause precaution
380,AC,23,close road lane boundary cause object lane detection
381,AC,23,exit merge insufficient distance keeping cause object detection
382,AC,23,close road lane boundary cause object lane detection
383,AC,23,cut insufficient distance keeping cause object detection
384,AC,23,close road lane boundary exit merge manuever cause lane detection
385,AC,23,exit merge insufficient distance keeping cause object detection
386,AC,23,close road lane boundary exit merge manuever cause lane detection
387,AC,23,close road lane boundary cause object lane detection
388,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
389,AC,23,close road lane boundary cause object lane detection
390,AC,23,close road lane boundary cause object lane detection
391,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
392,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
393,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
394,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
395,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
396,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
397,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
398,AC,23,close road lane boundary cause object lane detection
399,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
400,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
401,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
402,AC,23,perform steering correct trajectory cause trajectory calculation
403,AC,23,perform steering correct trajectory cause trajectory calculation
404,AC,23,close road lane boundary cause object lane detection
405,AC,23,perform steering correct trajectory cause trajectory calculation
406,AC,23,close road lane boundary cause object lane detection
407,AC,23,perform steering correct trajectory cause trajectory calculation
408,AC,23,close road lane boundary cause object lane detection
409,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
410,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
411,AC,23,improper braking caused falsely perception stop line cause object detection
412,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
413,AC,23,close road lane boundary cause object lane detection
414,AC,23,perform steering correct trajectory cause trajectory calculation
415,AC,23,close road lane boundary cause object lane detection
416,AC,23,perform steering correct trajectory cause trajectory calculation
417,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
418,AC,23,close road lane boundary cause object lane detection
419,AC,23,perform steering correct trajectory cause trajectory calculation
420,AC,23,close road lane boundary cause object lane detection
421,AC,23,close road lane boundary cause object lane detection
422,AC,23,improper braking caused perception cause trajectory calculation
423,AC,23,catching insufficient distance keeping cause object detection
424,AC,23,improper braking caused falsely perception stop line cause object detection
425,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
426,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
427,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
428,AC,23,sw perform lane_change manuever safely cause lane detection
429,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
430,AC,23,close road lane boundary cause object lane detection
431,AC,23,improper braking caused perception cause trajectory calculation
432,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
433,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
434,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
435,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
436,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
437,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
438,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
439,AC,23,precaution keeping distance parked side cause precaution
440,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
441,AC,23,close road lane boundary cause object lane detection
442,AC,23,improper braking caused falsely perception stop line cause object detection
443,AC,23,improper braking caused falsely perception stop line cause object detection
444,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
445,AC,23,close road lane boundary cause object lane detection
446,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
447,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
448,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
449,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
450,AC,23,perform steering correct trajectory cause trajectory calculation
451,AC,23,close road lane boundary cause object lane detection
452,AC,23,close road lane boundary cause object lane detection
453,AC,23,close road lane boundary cause object lane detection
454,AC,23,exit merge insufficient distance keeping cause object detection
455,AC,23,close road lane boundary cause object lane detection
456,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
457,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
458,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
459,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
460,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
461,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
462,AC,23,perform steering correct trajectory cause trajectory calculation
463,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
464,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
465,AC,23,perform steering correct trajectory cause trajectory calculation
466,AC,23,sw perform lane_change manuever safely cause lane detection
467,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
468,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
469,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
470,AC,23,catching insufficient distance keeping cause object detection
471,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
472,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
473,AC,23,perform steering correct trajectory cause trajectory calculation
474,AC,23,perform steering correct trajectory cause trajectory calculation
475,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
476,AC,23,perform steering correct trajectory cause trajectory calculation
477,AC,23,close road lane boundary cause object lane detection
478,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
479,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
480,AC,23,close road lane boundary cause object lane detection
481,AC,23,close road lane boundary cause object lane detection
482,AC,23,close road lane boundary cause object lane detection
483,AC,23,sw perform lane_change manuever safely cause lane detection
484,AC,23,close road lane boundary cause object lane detection
485,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
486,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
487,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
488,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
489,AC,23,close road lane boundary cause object lane detection
490,AC,23,close road lane boundary cause object lane detection
491,AC,23,close road lane boundary cause object lane detection
492,AC,23,close road lane boundary cause object lane detection
493,AC,23,sw perform lane_change manuever safely cause lane detection
494,AC,23,close road lane boundary cause object lane detection
495,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
496,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
497,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
498,AC,23,close road lane boundary cause object lane detection
499,AC,23,close road lane boundary cause object lane detection
500,AC,23,close road lane boundary cause object lane detection
501,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
502,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
503,AC,23,improper braking caused falsely perception stop line cause object detection
504,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
505,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
506,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
507,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
508,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
509,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
510,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
511,AC,23,close road lane boundary cause object lane detection
512,AC,23,close road lane boundary cause object lane detection
513,AC,23,close road lane boundary cause object lane detection
514,AC,23,close road lane boundary cause object lane detection
515,AC,23,close road lane boundary cause object lane detection
516,AC,23,close road lane boundary cause object lane detection
517,AC,23,close road lane boundary cause object lane detection
518,AC,23,close road lane boundary cause object lane detection
519,AC,23,precaution keeping distance parked side cause precaution
520,AC,23,perform steering correct trajectory cause trajectory calculation
521,AC,23,perform steering correct trajectory cause trajectory calculation
522,AC,23,close road lane boundary cause object lane detection
523,AC,23,close road lane boundary cause object lane detection
524,AC,23,close road lane boundary cause object lane detection
525,AC,23,close road lane boundary cause object lane detection
526,AC,23,ensure stopping traffic_light stop line cause improper traffic_light stop line detection
