,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
14244,BE,22,"When the AV was making a lane change, too much acceleration was observed despite a set target speed. As a result, the driver safely disengaged and resumed manual control.",
14245,BE,22,"The Safety driver noticed incorrect map drive lines, causing the AV to drive too close to the curb. As a result, Driver safely disengaged and resumed manual control.",
16405,BE,21,"The AV didn't detect the obstacle in front of it. As a result, the driver safely disengaged and resumed manual control.",
14243,BE,22,"The AV was approaching a turn too fast. As a result, the driver safely disengaged and resumed manual control.",
16409,BE,21,"Traffic Light Software Module didn't detect traffic light and AV didn't go for green light. As a result, the driver safely disengaged and resumed manual control.",
16419,BE,21,"Traffic Light Software Module stopped detecting traffic light and AV started go on a red light. As a result, the driver safely disengaged and resumed manual control.",
14242,BE,22,"The AV did not see the traffic light and the AV stopped for a green light. As a result, the driver safely disengaged and resumed manual control.",
16416,BE,21,"The AV attempted to go around a vehicle stopped at a Red light. As a result, the driver safely disengaged and resumend manual control.",
16415,BE,21,"The AV attempted to go around a vehicle stopped at a Red light. As a result, the driver safely disengaged and resumend manual control.",
16418,BE,21,"Traffic Light Software Module stopped detecting traffic light and AV started go on a red light. As a result, the driver safely disengaged and resumed manual control.",
14248,BE,22,"The AV didn't yield to vehicle turning left while AV was turning right. As a result, Driver safely disengaged and resumed manual control.",
16403,BE,21,"Traffic Light Software Module didn't detect traffic light and AV wasn't stopping for red light. As a result, the driver safely disengaged and resumed manual control.",
14247,BE,22,"The AV was block by a car double park on the street, the AV as not able to go around due to incoming traffic. As a result, Driver safely disengaged and resumed manual control.",
16404,BE,21,"The AV didn't detect the obstacle in front of it. As a result, the driver safely disengaged and resumed manual control.",
16410,BE,21,"The AV wasn't centered in the lane. As a result, the driver safely disengaged and resumed manual control.",
16411,BE,21,"Speed control Software module generated a wrong speed control command. As a result, the driver safely disengaged and resumed manual control.",
14249,BE,22,"The AV stopped for a construction zone due to lane blockage. As a result, Driver safely disengaged and resumed manual control.",
16406,BE,21,"Gps localization is incorrect, lane off-set to large, AV was driving towards edge of the lane. As a result, the driver safely disengaged and resumed manual control.",
17956,CB,19,Planning Discrepancy: Failure to yield to other actors,
21569,CB,19,Planning Module Failure due to software issue,
21648,CB,19,Perception Discrepancy: Incorrect assessment of traffic light state,
21549,CB,19,Planning Module Failure due to software issue,
21560,CB,19,Planning Module Failure due to software issue,
21562,CB,19,Planning Module Failure due to software issue,
21655,CB,19,Planning Discrepancy: Failure to yield to other actors,
21543,CB,19,Planning Module Failure due to software issue,
21532,CB,19,Planning Discrepancy: Failure to yield to other actors,
17978,CB,20,Planning Module Failure due to software issue,
21555,CB,19,Planning Module Failure due to software issue,
21657,CB,19,Planning Module Failure due to software issue,
21597,CB,19,Planning Module Failure due to software issue,
21598,CB,19,Planning Discrepancy: Failure to yield to other actors,
21605,CB,19,Planning Discrepancy: Poor trajectory across lanes,
21627,CB,19,Perception Module Failure due to software issue,
17964,CB,19,Planning Module Failure due to mapping issue,
21537,CB,19,Planning Module Failure due to software issue,
21554,CB,19,Planning Module Failure due to software issue,
17980,CB,20,Planning Discrepancy: Failure to yield to other actors,
6529,AS,23,Safety Driver disengaged due to inappropriate steering.,
6542,AS,23,Safety Driver disengaged due to cut-in issue.,
6547,AS,23,Safety Driver disengaged upon judging that vehicle was too close to road boundary.,
6544,AS,23,Safety Driver disengaged upon judging that vehicle was too close to road boundary.,
6550,AS,23,Safety Driver disengaged to proceed through green traffic signal.,
6539,AS,23,"Safety Driver disengaged due to inappropriate braking, caused by perception issue.",
6541,AS,23,Safety Driver disengaged to reduce speed.,
6561,AS,23,Safety Driver disengaged to reduce speed.,
6534,AS,23,Safety Driver disengaged due to overly harsh braking.,
6556,AS,23,Safety Driver disengaged because vehicle was mishandling a traffic light.,
6540,AS,23,Safety Driver disengaged because vehicle was mishandling a traffic light.,
6538,AS,23,Safety Driver disengaged because vehicle was mishandling a traffic light.,
6548,AS,23,Safety Driver disengaged due to inappropriate braking proposal.,
6553,AS,23,Safety Driver disengaged near crosswalk due to overly conservative vehicle behavior.,
6525,AS,23,"Safety Driver disengaged due to inappropriate braking, caused by perception issue.",
6545,AS,23,Safety Driver disengaged to reduce speed.,
6560,AS,23,Safety Driver disengaged because vehicle was mishandling a traffic light.,
6562,AS,23,"Safety Driver disengaged due to inappropriate braking proposal, caused by perception issue.",
6533,AS,23,Safety Driver disengaged due to vehicle not giving enough space for cross traffic.,
6530,AS,23,"Safety Driver disengaged due to inappropriate braking, caused by perception issue.",
19724,CL,20,"AV making wide right turn, with on coming vehicle in opposite lane of a narrow street. Driver makes a preventive intervention to avoid any unsafe situation. Cause: Lateral controls issue causing wider than usual turn.",
19879,CL,20,"AV at a stop sign intersection with one other trailing vehicle. The current AV version takes a cautious stop-creep action at a stop sign junction, which is  slower & conservative than a typical human driver. Safety driver took over to avoid any inconvenience to the other vehicle",
19715,CL,20,AV takes a wide left turn on the curve of a narrow street. Driver makes a preventive intervention to avoid any close encounters. Cause: Error in Lidar-vehicle calibation results in a higher cross track error in lateral controller causing the wide turn.,
19743,CL,20,"AV making wide left turn, with on coming vehicle in opposite lane of a narrow street. Driver makes a preventive intervention to avoid any unsafe situation. Cause: Lateral controls issue causing wider than usual turn.",
19818,CL,20,"Vehicle starts to drift from its expected path on the lane, possibly due to effective loss of either localization or compute or network transport of the localization data. Driver takes over quickly to avoid any unsafe situation. ",
19859,CL,20,Safety driver decided to take over to let a faster trailer vehicle pass the AV for their convenience. No AV system fault detected. ,
19797,CL,20,AV turning right. Construction warning signs on the side of the turn not detected by AV.Driver takes over to avoid AV getting close to the construction zone. ,
19853,CL,20,AV turning right. Construction warning signs on the side of the turn not detected by AV.Driver takes over to avoid AV getting close to the construction zone. ,
19744,CL,20,"AV at a busy 4-way stop sign intersection. The current AV version takes a cautious stop-creep action at a stop sign junction, which is slower than a typical human driver. Safety driver took over to avoid any inconvenience to other vehicles.",
19810,CL,20,AV turning right. Construction warning signs on the side of the turn not detected by AV.Driver takes over to avoid AV getting close to the construction zone. ,
19811,CL,20,Safety driver decides to take over to let a faster trailing vehicle pass.,
19750,CL,20,"Narrow street with parked vehicles  on either side. Gap on either side is less than  AV Planner's safety thresolds, resulting in planner stopping the vehicle. Driver takes over. ",
19761,CL,20,"AV localization becomes inconsistent, as observed on the in-vehicle monitor. AV starts moving from center of the lane towards the curb. Safety driver takes over to avoid unsafe situation.",
19794,CL,20,Safety driver a takes over to let a faster trailing vehicle to pass. ,
19884,CL,20,"AV falsely detects a pedestrian yield sign as a pedestrian, causing the AV to come to a stop. Safety driver initiates take over to maintain smooth traffic flow.",
19857,CL,20,"AV falsely detects a pedestrian yield sign as a pedestrian, causing the AV to come to a stop. Safety driver initiates take over to maintain smooth traffic flow.No AV system fault detected.",
19830,CL,20,AV turning right. Construction warning signs on the side of the turn not detected by AV.Driver takes over to avoid AV getting close to the construction zone. ,
19823,CL,20,AV did not detect contruction ditch on side of the road. Safety driver took over as a precaution.,
19878,CL,20,"AV at a stop sign intersection with one other trailing vehicle. The current AV version takes a cautious stop-creep action at a stop sign junction, which is  slower & conservative than a typical human driver. Safety driver took over to avoid any inconvenience to the other vehicle",
19776,CL,20,"AV at a stop sign intersection with one other vehicle. The current AV version takes a cautious stop-creep action at a stop sign junction, which is slower than a typical human driver. Safety driver took over to avoid any inconvenience to the other vehicle",
16031,BR,21,Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during day,
16032,BR,21,Perception discrepancy; On city road in moderate traffic with light rain during day,
16033,BR,21,Hardware discrepancy or system fault; On city road in light traffic with clear sky during day,
16034,BR,21,Reckless Agent/Road User; Prediction discrepancy; On city road in heavy traffic with clear sky during day,
16035,BR,21,Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during night,
16036,BR,21,Perception discrepancy; On city road in heavy traffic with cloudy sky during dusk,
14292,BH,21,Precautionary Takeover: Oncoming traffic occupied the current planned path therefor takeover was initiated,
14293,BH,21,"Precautionary Takeover: The camera is covered by dust, so the traffic light is not recognized,  therefor takeover was initiated",
14294,BH,21,An error message is received due to a time synchronization problem,
16546,BH,21,Software System Kickout: Lincoln MKZ vehicle digital gear switching fails - command received but failed to execute,
16547,BH,21,Precautionary Takeover: Oncoming traffic occupied the current planned path therefor takeover was initiated,
16548,BH,21,Software Positioning: Map not providing enough information for precise positioning,
16549,BH,21,Hardware Irregularity: Bad signal received from Global Positioning System device on main computer,
16550,BH,21,Software System Kickout:  The vehicle's wire control system did not receive vehicle info from the Controller Area Network,
26427,DF,18,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26429,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26440,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to positioning. The disengagement was initiated by the test driver under free-flowing traffic and clear weather conditions.,
26460,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26462,DF,19,The disengagement was initiated by the test driver during heavy traffic and clear weather conditions in order to perform a lane change. ,
26453,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26455,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26448,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26432,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26431,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26445,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26449,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26447,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to motion planning. The test drive occurred under heavy traffic and clear weather conditions. ,
26437,DF,19,The disengagement was initiated by the test driver during free-flowing traffic and clear weather condition. The test driver took manual control of the car as it was getting too close to one of the lane lines.,
26454,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred under heavy traffic and clear weather conditions. ,
26443,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to positioning. The test drive occurred under heavy traffic and clear weather conditions. ,
26442,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26430,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
26459,DF,19,The disengagement was initiated by the test driver after the software requested manual takeover due to positioning. The test drive occurred under heavy traffic and clear weather conditions. ,
26428,DF,19,The disengagement was initiated by the test driver after unexpected braking was observed due to temporary false detection. The test drive occurred on the freeway under free-flowing traffic and clear weather conditions.,
27155,CO,19,Safety Driver proactive disengagement.,
27203,CO,19,Automatic disengagement caused by perception fault.,
29193,CO,19,Automatic disengagement caused by planner fault.,
21115,CO,20,Safety Driver disengaged due to inappropriate braking proposal.,
20808,CO,20,Safety Driver disengaged near crosswalk due to overly conservative vehicle behavior.,
27490,CO,19,Safety Driver proactive disengagement.,
27504,CO,19,Safety Driver proactive disengagement.,
19976,CO,19,Safety Driver disengaged due to inappropriate braking proposal.,
29287,CO,19,Safety Driver proactive disengagement.,
26688,CO,18,Automatic disengagement caused by perception fault.,
27627,CO,19,Automatic disengagement caused by perception fault.,
29291,CO,19,Safety Driver proactive disengagement.,
29234,CO,19,Safety Driver proactive disengagement.,
27902,CO,19,Automatic disengagement caused by planner fault.,
20275,CO,20,Safety Driver disengaged due to inappropriate braking proposal.,
29308,CO,19,Safety Driver proactive disengagement.,
26696,CO,18,Safety Driver proactive disengagement.,
29192,CO,19,Safety Driver proactive disengagement.,
29185,CO,19,Automatic disengagement caused by planner fault.,
27255,CO,19,Automatic disengagement caused by planner fault.,
22004,CH,19,"Disengage for an erratically, recklessly or aggressively behaving road user",
22816,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
22207,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
23059,CH,19,Disengage for unwanted maneuver of the vehicle caused by a localization discrepancy in accurately positioning the vehicle on the map,
22367,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
22078,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
22733,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
22025,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
23110,CH,19,Disengage for unwanted maneuver of the vehicle caused by a localization discrepancy in accurately positioning the vehicle on the map,
21840,CH,18,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
22153,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
18271,CH,20,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
22332,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
21924,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
22079,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
22084,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
22255,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
23098,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
23481,CH,19,Disengage for unwanted maneuver of the vehicle caused by a planning discrepancy while generating an appropriate trajectory,
22076,CH,19,Disengage for a software fault due to a potential performance issue with a software component of the self-driving system (including third party software components),
19454,CJ,19,"When the AV was making a lane change, too much acceleration was observed despite the existence of lead vehicle on the target lane. The driver safely disengaged and resumed manual control shortly after the unexpected acceleration. ",
19455,CJ,20,The AV controller unexpectedly stopped running and AV operation was disengaged. The driver safely took over control of the vehicle shortly after the disengagement.,
19456,CJ,20,The AV was Breaking incorrectly. As a result the safety driver disengaged and resumed manual control.,
19457,CJ,20,Comparing map files and an offset was noticed by the safety driver as a result the safety driver disengaged and resumed manual control.,
25595,DA,19,"Speed control Software module generated a wrong speed control command. As a result, the driver safely disengaged and resumed manual control.",
25582,DA,19,"AV was not braking at intersection. As a result, the driver safely disengaged and resumed manual control.",
25589,DA,19,"AV not turning enough for right turn, driver manually steered for the AV. As a result, the driver safely disengaged and resumed manual control.",
25562,DA,19,"AV began an undesired passing maneuver on the left. As a result, the driver safely disengaged and resumed manual control.",
25561,DA,19,"AV was not braking at an intersection when the traffic light was red. As a result, the driver safely disengaged and resumed manual control.",
25549,DA,18,"AV was speeding up incorrectly. As a result, the driver safely disengaged and resumed manual control.",
25554,DA,18,"AV was braking incorrectly. As a result, the driver safely disengaged and resumed manual control.",
25591,DA,19,"AV not slowing down enough for traffic location, driver manually braked for the AV. As a result, the driver safely disengaged and resumed manual control.",
25584,DA,19,"Traffic light software module didn't detect traffic light and AV wasn't stopping for red light. As a result, the driver safely disengaged and resumed manual control.",
25566,DA,19,"The AV didn't detect the obstacle in front of it. As a result, the driver safely disengaged and resumed manual control.",
25552,DA,18,"AV was speeding up incorrectly. As a result, the driver safely disengaged and resumed manual control.",
25573,DA,19,"AV controller software module was not steering enough to make a turn. As a result, the driver safely disengaged and resumed manual control.",
25565,DA,19,"Traffic Light Software Module didn't detect traffic light and AV wasn't stopping for red light. As a result, the driver safely disengaged and resumed manual control.",
25550,DA,18,"AV was exhibiting irregular steering behavior. As a result, the driver safely disengaged and resumed manual control.",
25572,DA,19,"AV main computer froze, no computation was being completed. AV was driving towards edge of the lane. As a result, the driver safely disengaged and resumed manual control.",
25592,DA,19,"AV moving to slowly for traffic location, driver manually accelerated for the AV. As a result, the driver safely disengaged and resumed manual control.",
